#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
148    49.751408179017 -2.061e-03  1.413e+00  4.312e+00  4.725e-04* 1.356e-03*
149    49.561710295573 -1.897e-01  2.586e+00  7.511e+00  8.933e-03  2.782e-02 
150    49.390571275632 -1.711e-01  1.340e+00  3.366e+00  4.168e-03  1.233e-02 
151    49.386162572787 -4.409e-03  1.864e+00  5.468e+00  9.376e-04* 2.923e-03 
152    49.231041165963 -1.551e-01  1.759e+00  4.942e+00  5.906e-03  1.894e-02 
153    48.555864925883 -6.752e-01  4.441e+00  1.370e+01  4.595e-02  1.510e-01 
154    48.229983981863 -3.259e-01  1.482e+00  6.376e+00  4.040e-03  1.133e-02 
155    48.227962385025 -2.022e-03  1.637e+00  7.205e+00  3.539e-04* 1.037e-03*
156    48.164883653515 -6.308e-02  7.496e-01  1.580e+00  1.746e-03  4.151e-03 
157    48.162828047820 -2.056e-03  9.047e-01  1.870e+00  3.913e-04* 9.763e-04*
158    48.139540123544 -2.329e-02  6.534e-01  1.090e+00  1.151e-03  2.755e-03 
159    48.129484738392 -1.006e-02  9.415e-01  2.197e+00  1.286e-03  3.443e-03 
160    48.110082248672 -1.940e-02  5.404e-01  1.219e+00  9.357e-04* 2.067e-03 
161    48.107592572827 -2.490e-03  7.696e-01  2.391e+00  4.932e-04* 1.094e-03*
162    48.091380789603 -1.621e-02  5.739e-01  1.664e+00  9.946e-04* 2.023e-03 
163    48.083171569852 -8.209e-03  1.057e+00  3.570e+00  1.410e-03  3.294e-03 
164    48.060609878802 -2.256e-02  4.773e-01  1.289e+00  1.014e-03  2.002e-03 
165    48.060220311934 -3.896e-04  5.916e-01  1.682e+00  1.646e-04* 3.605e-04*
166    48.047142826192 -1.308e-02  5.964e-01  1.285e+00  1.129e-03  2.854e-03 
167    47.991187863059 -5.595e-02  1.427e+00  4.411e+00  7.381e-03  2.078e-02 
168    47.950995722225 -4.019e-02  5.696e-01  1.307e+00  1.397e-03  3.803e-03 
169    47.950546912515 -4.488e-04  6.676e-01  1.633e+00  1.775e-04* 5.479e-04*
170    47.936294618860 -1.425e-02  5.652e-01  2.075e+00  1.024e-03  3.402e-03 
171    47.926134315166 -1.016e-02  6.368e-01  1.603e+00  1.416e-03  5.151e-03 
