#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
105   -38.254239833958 -5.202e-05  4.430e-02  9.229e-02  1.260e-04* 3.587e-04*
106   -38.254472438619 -2.326e-04  1.273e-01  2.155e-01  7.438e-04* 2.150e-03 
107   -38.254679746238 -2.073e-04  2.406e-02  4.334e-02  1.168e-04* 3.281e-04*
108   -38.254679780793 -3.455e-08* 2.585e-02  4.752e-02  2.010e-06* 5.705e-06*
109   -38.254695850784 -1.607e-05  5.443e-02  1.432e-01  7.559e-05* 2.301e-04*
110   -38.254737569544 -4.172e-05  1.670e-02  3.804e-02  4.306e-05* 9.030e-05*
111   -38.254737616210 -4.667e-08* 1.820e-02  3.865e-02  1.491e-06* 3.227e-06*
112   -38.254794842690 -5.723e-05  6.051e-02  1.523e-01  1.887e-04* 5.474e-04*
113   -38.254839733478 -4.489e-05  1.578e-02  3.993e-02  3.651e-05* 7.231e-05*
114   -38.254839788609 -5.513e-08* 1.729e-02  4.204e-02  1.533e-06* 3.012e-06*
115   -38.254872155784 -3.237e-05  3.266e-02  7.910e-02  1.095e-04* 3.165e-04*
116   -38.254893846378 -2.169e-05  2.989e-02  5.947e-02  3.597e-05* 8.215e-05*
117   -38.254930109317 -3.626e-05  3.423e-02  6.306e-02  9.993e-05* 2.266e-04*
118   -38.254948303040 -1.819e-05  2.679e-02  7.026e-02  3.233e-05* 7.358e-05*
119   -38.254969173621 -2.087e-05  5.260e-02  1.295e-01  7.342e-05* 2.059e-04*
120   -38.255004952344 -3.578e-05  1.554e-02  3.527e-02  3.646e-05* 8.999e-05*
121   -38.255005002670 -5.033e-08* 1.734e-02  3.571e-02  1.751e-06* 4.301e-06*
122   -38.255037459507 -3.246e-05  5.479e-02  1.356e-01  1.198e-04* 3.460e-04*
123   -38.255072788185 -3.533e-05  1.339e-02  3.137e-02  3.135e-05* 5.629e-05*
124   -38.255072828581 -4.040e-08* 1.475e-02  3.202e-02  1.216e-06* 2.204e-06*
125   -38.255109143683 -3.632e-05  6.500e-02  1.079e-01  1.605e-04* 4.399e-04*
126   -38.255156880972 -4.774e-05  1.266e-02  2.682e-02  3.385e-05* 9.985e-05*
127   -38.255156908063 -2.709e-08* 1.338e-02  2.884e-02  8.181e-07* 2.372e-06*
128   -38.255185150819 -2.824e-05  4.411e-02  9.354e-02  1.124e-04* 3.378e-04*
129   -38.255210309016 -2.516e-05  1.926e-02  4.433e-02  2.651e-05* 5.294e-05*
130   -38.255211241221 -9.322e-07* 2.467e-02  5.729e-02  6.655e-06* 1.283e-05*
131   -38.255230045691 -1.880e-05  2.029e-02  4.590e-02  4.156e-05* 7.829e-05*
132   -38.255240260680 -1.021e-05  2.838e-02  5.746e-02  5.498e-05* 1.317e-04*
133   -38.255263843316 -2.358e-05  3.553e-02  9.877e-02  5.075e-05* 1.296e-04*
134   -38.255305532123 -4.169e-05  2.781e-02  5.107e-02  8.169e-05* 2.370e-04*
135   -38.255321437213 -1.591e-05  4.208e-02  8.377e-02  9.162e-05* 2.763e-04*
136   -38.255356851496 -3.541e-05  3.825e-02  8.630e-02  5.894e-05* 1.372e-04*
137   -38.255413681088 -5.683e-05  5.198e-02  9.771e-02  1.490e-04* 3.558e-04*
138   -38.255450704649 -3.702e-05  2.538e-02  5.334e-02  4.754e-05* 1.247e-04*
139   -38.255452469130 -1.764e-06  3.352e-02  6.934e-02  1.365e-05* 3.958e-05*
140   -38.255488618177 -3.615e-05  3.076e-02  9.062e-02  6.595e-05* 1.738e-04*
141   -38.255511616671 -2.300e-05  3.230e-02  6.974e-02  8.233e-05* 2.355e-04*
142   -38.255539457276 -2.784e-05  4.110e-02  8.464e-02  7.495e-05* 2.196e-04*
143   -38.255607133849 -6.768e-05  4.653e-02  1.332e-01  1.363e-04* 3.411e-04*
144   -38.255662671755 -5.554e-05  3.809e-02  6.896e-02  1.411e-04* 3.661e-04*
145   -38.255713073083 -5.040e-05  8.548e-02  2.052e-01  2.875e-04* 8.198e-04*
146   -38.255825066389 -1.120e-04  4.671e-02  1.238e-01  1.056e-04* 2.831e-04*
147   -38.255832486103 -7.420e-06  6.476e-02  1.844e-01  3.790e-05* 1.071e-04*
148   -38.255909465362 -7.698e-05  2.388e-02  5.197e-02  8.489e-05* 2.257e-04*
149   -38.255909615896 -1.505e-07* 2.698e-02  5.826e-02  4.384e-06* 1.208e-05*
150   -38.255929506770 -1.989e-05  2.511e-02  6.101e-02  5.544e-05* 1.604e-04*
151   -38.256042395923 -1.129e-04  1.095e-01  2.755e-01  5.694e-04* 1.661e-03*
152   -38.256178319708 -1.359e-04  3.754e-02  9.830e-02  6.372e-05* 1.305e-04*
153   -38.256179385547 -1.066e-06  4.256e-02  9.941e-02  6.559e-06* 1.326e-05*
154   -38.256227421035 -4.804e-05  1.877e-02  6.569e-02  5.888e-05* 1.051e-04*
155   -38.256228143898 -7.229e-07* 2.117e-02  7.215e-02  8.487e-06* 1.491e-05*
156   -38.256234770955 -6.627e-06  1.568e-02  3.671e-02  1.639e-05* 3.363e-05*
157   -38.256241775365 -7.004e-06  3.815e-02  1.069e-01  3.971e-05* 1.135e-04*
158   -38.256261850386 -2.008e-05  1.440e-02  4.328e-02  2.648e-05* 6.244e-05*
159   -38.256261980274 -1.299e-07* 1.725e-02  5.596e-02  2.595e-06* 6.003e-06*
160   -38.256297576818 -3.560e-05  4.396e-02  7.740e-02  1.291e-04* 3.784e-04*
161   -38.256324210603 -2.663e-05  2.023e-02  4.405e-02  3.218e-05* 6.184e-05*
162   -38.256325007447 -7.968e-07* 2.647e-02  5.687e-02  7.244e-06* 1.539e-05*
163   -38.256349119931 -2.411e-05  2.175e-02  4.934e-02  5.491e-05* 1.168e-04*
164   -38.256362280370 -1.316e-05  3.356e-02  7.084e-02  8.358e-05* 2.055e-04*
165   -38.256389432871 -2.715e-05  3.653e-02  9.327e-02  4.881e-05* 1.275e-04*
166   -38.256434544602 -4.511e-05  2.023e-02  5.288e-02  9.314e-05* 2.599e-04*
167   -38.256436465067 -1.920e-06  2.773e-02  6.541e-02  2.704e-05* 7.833e-05*
168   -38.256464975473 -2.851e-05  4.183e-02  1.244e-01  7.418e-05* 1.902e-04*
169   -38.256507141721 -4.217e-05  2.551e-02  6.244e-02  7.029e-05* 1.689e-04*
170   -38.256510089018 -2.947e-06  3.914e-02  1.051e-01  2.902e-05* 7.347e-05*
171   -38.256538288620 -2.820e-05  2.339e-02  6.672e-02  5.455e-05* 1.330e-04*
172   -38.256540900734 -2.612e-06  3.777e-02  1.205e-01  2.613e-05* 7.029e-05*
173   -38.256579679227 -3.878e-05  3.275e-02  7.297e-02  7.775e-05* 2.191e-04*
174   -38.256629326266 -4.965e-05  7.574e-02  1.604e-01  2.479e-04* 7.332e-04*
175   -38.256697610203 -6.828e-05  2.836e-02  6.088e-02  5.733e-05* 1.222e-04*
176   -38.256698299164 -6.890e-07* 3.329e-02  6.970e-02  6.708e-06* 1.462e-05*
177   -38.256738013876 -3.971e-05  2.167e-02  3.770e-02  7.160e-05* 1.338e-04*
178   -38.256742364550 -4.351e-06  2.656e-02  5.112e-02  3.391e-05* 7.485e-05*
