#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\d-glucose.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\d-glucose.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\d-glucose.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\d-glucose.xyz
# RANDOMSEED 2661654898
# TEMPERATURE 500.000000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    176  7.06289e+01 -2.182e+01  9.245e+01  0.000e+00 -2.280e+00 -1.954e+01  1.698e+01  5.595e+01  1.953e+01  0.000e+00
    180  7.05932e+01 -2.170e+01  9.230e+01  0.000e+00 -2.262e+00 -1.944e+01  1.749e+01  5.555e+01  1.925e+01  0.000e+00
    184  6.75977e+01 -2.181e+01  8.940e+01  0.000e+00 -2.286e+00 -1.952e+01  1.603e+01  5.376e+01  1.962e+01  0.000e+00
    188  6.95758e+01 -2.184e+01  9.142e+01  0.000e+00 -2.292e+00 -1.955e+01  1.720e+01  5.487e+01  1.935e+01  0.000e+00
    192  7.13612e+01 -2.179e+01  9.315e+01  0.000e+00 -2.272e+00 -1.952e+01  1.915e+01  5.478e+01  1.923e+01  0.000e+00
    196  6.85399e+01 -2.178e+01  9.032e+01  0.000e+00 -2.283e+00 -1.950e+01  1.698e+01  5.394e+01  1.940e+01  0.000e+00
    200  6.83581e+01 -2.184e+01  9.020e+01  0.000e+00 -2.282e+00 -1.956e+01  1.695e+01  5.387e+01  1.937e+01  0.000e+00
    204  6.97213e+01 -2.185e+01  9.157e+01  0.000e+00 -2.267e+00 -1.958e+01  1.907e+01  5.354e+01  1.896e+01  0.000e+00
    208  6.30825e+01 -2.206e+01  8.515e+01  0.000e+00 -2.280e+00 -1.978e+01  1.419e+01  5.228e+01  1.867e+01  0.000e+00
    212  6.03156e+01 -2.207e+01  8.239e+01  0.000e+00 -2.303e+00 -1.977e+01  1.417e+01  4.917e+01  1.904e+01  0.000e+00
    216  5.76587e+01 -2.202e+01  7.967e+01  0.000e+00 -2.317e+00 -1.970e+01  1.252e+01  4.861e+01  1.854e+01  0.000e+00
    220  5.70399e+01 -2.192e+01  7.896e+01  0.000e+00 -2.325e+00 -1.959e+01  1.049e+01  4.981e+01  1.865e+01  0.000e+00
    224  5.85859e+01 -2.205e+01  8.064e+01  0.000e+00 -2.345e+00 -1.971e+01  1.249e+01  4.913e+01  1.901e+01  0.000e+00
    228  5.89523e+01 -2.182e+01  8.077e+01  0.000e+00 -2.331e+00 -1.949e+01  1.226e+01  4.957e+01  1.894e+01  0.000e+00
    232  5.68626e+01 -2.174e+01  7.860e+01  0.000e+00 -2.321e+00 -1.942e+01  1.239e+01  4.694e+01  1.927e+01  0.000e+00
    236  5.49687e+01 -2.158e+01  7.655e+01  0.000e+00 -2.312e+00 -1.927e+01  8.976e+00  4.832e+01  1.925e+01  0.000e+00
    240  5.47646e+01 -2.162e+01  7.639e+01  0.000e+00 -2.325e+00 -1.930e+01  1.179e+01  4.498e+01  1.962e+01  0.000e+00
    244  5.40010e+01 -2.156e+01  7.556e+01  0.000e+00 -2.336e+00 -1.922e+01  9.316e+00  4.596e+01  2.028e+01  0.000e+00
    248  5.68690e+01 -2.151e+01  7.838e+01  0.000e+00 -2.308e+00 -1.920e+01  1.125e+01  4.701e+01  2.011e+01  0.000e+00
    252  5.80572e+01 -2.152e+01  7.958e+01  0.000e+00 -2.314e+00 -1.921e+01  1.179e+01  4.769e+01  2.010e+01  0.000e+00
    256  5.55971e+01 -2.151e+01  7.711e+01  0.000e+00 -2.308e+00 -1.920e+01  7.781e+00  4.909e+01  2.024e+01  0.000e+00
    260  5.41212e+01 -2.136e+01  7.548e+01  0.000e+00 -2.296e+00 -1.906e+01  6.807e+00  4.878e+01  1.989e+01  0.000e+00
    264  5.62144e+01 -2.125e+01  7.747e+01  0.000e+00 -2.299e+00 -1.895e+01  6.501e+00  5.059e+01  2.037e+01  0.000e+00
    268  5.51292e+01 -2.168e+01  7.681e+01  0.000e+00 -2.294e+00 -1.939e+01  7.410e+00  4.896e+01  2.044e+01  0.000e+00
    272  6.19027e+01 -2.165e+01  8.355e+01  0.000e+00 -2.318e+00 -1.933e+01  1.411e+01  4.871e+01  2.073e+01  0.000e+00
    276  6.39983e+01 -2.153e+01  8.553e+01  0.000e+00 -2.303e+00 -1.923e+01  1.407e+01  5.064e+01  2.082e+01  0.000e+00
    280  6.38924e+01 -2.129e+01  8.519e+01  0.000e+00 -2.289e+00 -1.900e+01  1.236e+01  5.229e+01  2.053e+01  0.000e+00
    284  6.34420e+01 -2.144e+01  8.489e+01  0.000e+00 -2.299e+00 -1.915e+01  1.351e+01  5.054e+01  2.084e+01  0.000e+00
    288  5.98322e+01 -2.160e+01  8.143e+01  0.000e+00 -2.311e+00 -1.929e+01  1.565e+01  4.529e+01  2.049e+01  0.000e+00
    292  6.23401e+01 -2.187e+01  8.421e+01  0.000e+00 -2.319e+00 -1.955e+01  1.686e+01  4.755e+01  1.979e+01  0.000e+00
    296  6.20346e+01 -2.170e+01  8.374e+01  0.000e+00 -2.320e+00 -1.938e+01  1.820e+01  4.563e+01  1.990e+01  0.000e+00
    300  6.24056e+01 -2.144e+01  8.384e+01  0.000e+00 -2.320e+00 -1.912e+01  1.670e+01  4.730e+01  1.985e+01  0.000e+00
    304  6.67040e+01 -2.142e+01  8.813e+01  0.000e+00 -2.313e+00 -1.911e+01  1.930e+01  4.924e+01  1.959e+01  0.000e+00
