#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\hexane.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\hexane_optim.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\hexane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\hexane.xyz
# RANDOMSEED 558222221
# TEMPERATURE 500.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 10.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 60000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    408  2.08867e+01  2.118e-01  2.067e+01  0.000e+00 -9.985e-02  3.116e-01  6.101e+00  1.382e+01  7.540e-01  0.000e+00
    412  1.90101e+01  2.218e-01  1.879e+01  0.000e+00 -9.070e-02  3.124e-01  4.060e+00  1.395e+01  7.757e-01  0.000e+00
    416  1.87751e+01  2.813e-01  1.849e+01  0.000e+00 -3.240e-02  3.137e-01  3.262e+00  1.444e+01  7.882e-01  0.000e+00
    420  2.14981e+01  2.931e-01  2.121e+01  0.000e+00 -2.341e-02  3.165e-01  5.649e+00  1.470e+01  8.536e-01  0.000e+00
    424  2.33993e+01  2.440e-01  2.316e+01  0.000e+00 -7.245e-02  3.164e-01  7.130e+00  1.516e+01  8.693e-01  0.000e+00
    428  2.42481e+01  1.734e-01  2.407e+01  0.000e+00 -1.395e-01  3.129e-01  8.052e+00  1.523e+01  7.965e-01  0.000e+00
    432  2.42302e+01  1.335e-01  2.410e+01  0.000e+00 -1.802e-01  3.137e-01  7.209e+00  1.606e+01  8.312e-01  0.000e+00
    436  2.54363e+01  1.542e-01  2.528e+01  0.000e+00 -1.608e-01  3.150e-01  8.409e+00  1.603e+01  8.470e-01  0.000e+00
    440  2.63387e+01  1.001e-01  2.624e+01  0.000e+00 -2.147e-01  3.148e-01  9.136e+00  1.621e+01  8.881e-01  0.000e+00
    444  2.61091e+01  1.162e-01  2.599e+01  0.000e+00 -1.968e-01  3.129e-01  8.139e+00  1.712e+01  7.348e-01  0.000e+00
