#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\butane_lowT.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\butane.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.xyz
# RANDOMSEED 2661654898
# TEMPERATURE 150.000000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 40000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    184  4.34678e+00  4.421e-01  3.905e+00  0.000e+00 -3.915e-02  4.812e-01  7.811e-01  2.063e+00  1.060e+00  0.000e+00
    188  4.28775e+00  4.478e-01  3.840e+00  0.000e+00 -3.433e-02  4.821e-01  7.117e-01  2.077e+00  1.052e+00  0.000e+00
    192  5.03962e+00  4.489e-01  4.591e+00  0.000e+00 -3.269e-02  4.816e-01  1.090e+00  2.434e+00  1.067e+00  0.000e+00
    196  4.41254e+00  4.491e-01  3.963e+00  0.000e+00 -3.252e-02  4.816e-01  1.017e+00  1.896e+00  1.050e+00  0.000e+00
    200  4.17156e+00  4.546e-01  3.717e+00  0.000e+00 -2.843e-02  4.830e-01  8.635e-01  1.786e+00  1.068e+00  0.000e+00
    204  4.58206e+00  4.517e-01  4.130e+00  0.000e+00 -3.138e-02  4.830e-01  8.671e-01  2.160e+00  1.103e+00  0.000e+00
    208  5.69238e+00  4.629e-01  5.229e+00  0.000e+00 -2.285e-02  4.858e-01  1.588e+00  2.488e+00  1.153e+00  0.000e+00
    212  4.55523e+00  4.515e-01  4.104e+00  0.000e+00 -3.277e-02  4.843e-01  1.319e+00  1.673e+00  1.112e+00  0.000e+00
    216  4.86934e+00  4.460e-01  4.423e+00  0.000e+00 -3.608e-02  4.821e-01  1.407e+00  1.895e+00  1.122e+00  0.000e+00
    220  5.45333e+00  4.370e-01  5.016e+00  0.000e+00 -4.287e-02  4.798e-01  2.162e+00  1.756e+00  1.099e+00  0.000e+00
    224  5.13122e+00  4.368e-01  4.694e+00  0.000e+00 -4.331e-02  4.801e-01  1.942e+00  1.656e+00  1.097e+00  0.000e+00
    228  4.87410e+00  4.412e-01  4.433e+00  0.000e+00 -3.983e-02  4.810e-01  1.692e+00  1.610e+00  1.131e+00  0.000e+00
