#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\butane.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\butane.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.xyz
# RANDOMSEED 2661654898
# TEMPERATURE 500.000000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 40000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    572  1.43405e+01  5.015e-01  1.384e+01  0.000e+00  1.665e-02  4.848e-01  4.057e+00  8.531e+00  1.251e+00  0.000e+00
    576  1.35511e+01  4.767e-01  1.307e+01  0.000e+00 -8.158e-03  4.849e-01  2.185e+00  9.611e+00  1.279e+00  0.000e+00
    580  1.56290e+01  4.670e-01  1.516e+01  0.000e+00 -1.944e-02  4.865e-01  3.877e+00  9.991e+00  1.294e+00  0.000e+00
    584  1.21502e+01  4.548e-01  1.170e+01  0.000e+00 -3.066e-02  4.854e-01  1.755e+00  8.631e+00  1.310e+00  0.000e+00
    588  1.51527e+01  4.493e-01  1.470e+01  0.000e+00 -3.612e-02  4.854e-01  4.535e+00  8.832e+00  1.337e+00  0.000e+00
    592  1.45885e+01  4.871e-01  1.410e+01  0.000e+00 -4.805e-03  4.919e-01  5.167e+00  7.705e+00  1.230e+00  0.000e+00
    596  1.73616e+01  4.843e-01  1.688e+01  0.000e+00 -6.271e-03  4.906e-01  6.989e+00  8.620e+00  1.268e+00  0.000e+00
    600  1.67762e+01  4.652e-01  1.631e+01  0.000e+00 -2.294e-02  4.881e-01  6.991e+00  7.937e+00  1.383e+00  0.000e+00
    604  1.65832e+01  4.530e-01  1.613e+01  0.000e+00 -3.340e-02  4.864e-01  6.577e+00  8.117e+00  1.437e+00  0.000e+00
    608  1.61218e+01  4.482e-01  1.567e+01  0.000e+00 -3.756e-02  4.858e-01  6.751e+00  7.609e+00  1.314e+00  0.000e+00
    612  1.86374e+01  4.359e-01  1.820e+01  0.000e+00 -4.870e-02  4.846e-01  6.771e+00  1.014e+01  1.286e+00  0.000e+00
    616  1.78751e+01  4.250e-01  1.745e+01  0.000e+00 -5.848e-02  4.835e-01  5.761e+00  1.047e+01  1.223e+00  0.000e+00
    620  1.94466e+01  4.210e-01  1.903e+01  0.000e+00 -6.242e-02  4.834e-01  8.244e+00  9.493e+00  1.289e+00  0.000e+00
    624  1.66500e+01  4.108e-01  1.624e+01  0.000e+00 -6.893e-02  4.798e-01  6.761e+00  8.255e+00  1.223e+00  0.000e+00
    628  1.41826e+01  4.140e-01  1.377e+01  0.000e+00 -6.537e-02  4.793e-01  3.403e+00  9.146e+00  1.219e+00  0.000e+00
    632  1.25689e+01  4.111e-01  1.216e+01  0.000e+00 -6.501e-02  4.761e-01  2.602e+00  8.288e+00  1.268e+00  0.000e+00
    636  1.66634e+01  4.076e-01  1.626e+01  0.000e+00 -6.630e-02  4.739e-01  3.310e+00  1.171e+01  1.233e+00  0.000e+00
    640  1.93015e+01  3.991e-01  1.890e+01  0.000e+00 -7.503e-02  4.741e-01  5.166e+00  1.252e+01  1.216e+00  0.000e+00
    644  1.76157e+01  4.053e-01  1.721e+01  0.000e+00 -6.994e-02  4.753e-01  4.467e+00  1.148e+01  1.268e+00  0.000e+00
    648  1.23538e+01  4.057e-01  1.195e+01  0.000e+00 -6.764e-02  4.733e-01  1.861e+00  8.773e+00  1.314e+00  0.000e+00
    652  1.23683e+01  4.089e-01  1.196e+01  0.000e+00 -6.294e-02  4.718e-01  1.831e+00  8.826e+00  1.302e+00  0.000e+00
    656  1.48035e+01  4.070e-01  1.440e+01  0.000e+00 -6.230e-02  4.693e-01  3.097e+00  9.880e+00  1.419e+00  0.000e+00
    660  1.31962e+01  3.962e-01  1.280e+01  0.000e+00 -7.043e-02  4.666e-01  2.648e+00  8.710e+00  1.442e+00  0.000e+00
    664  1.11278e+01  3.952e-01  1.073e+01  0.000e+00 -6.975e-02  4.650e-01  2.846e+00  6.538e+00  1.349e+00  0.000e+00
    668  8.50452e+00  3.985e-01  8.106e+00  0.000e+00 -6.656e-02  4.650e-01  1.067e+00  5.713e+00  1.326e+00  0.000e+00
