#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\he20.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\prm\he20.prm
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\he20.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\he20.xyz
# RANDOMSEED 747663306
# TEMPERATURE 298.150000 K
# BOUNDARY 46.860000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 5
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    660 -4.96897e-04 -4.969e-04  0.000e+00  0.000e+00 -4.969e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    665 -2.33849e-04 -2.338e-04  0.000e+00  0.000e+00 -2.338e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    670 -4.11289e-04 -4.113e-04  0.000e+00  0.000e+00 -4.113e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    675 -3.23152e-04 -3.232e-04  0.000e+00  0.000e+00 -3.232e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    680 -1.41235e-04 -1.412e-04  0.000e+00  0.000e+00 -1.412e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    685 -6.21608e-05 -6.216e-05  0.000e+00  0.000e+00 -6.216e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    690 -2.48963e-04 -2.490e-04  0.000e+00  0.000e+00 -2.490e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    695 -1.75812e-04 -1.758e-04  0.000e+00  0.000e+00 -1.758e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    700 -5.58055e-04 -5.581e-04  0.000e+00  0.000e+00 -5.581e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    705 -4.15286e-04 -4.153e-04  0.000e+00  0.000e+00 -4.153e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    710 -1.90172e-04 -1.902e-04  0.000e+00  0.000e+00 -1.902e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    715 -1.62732e-04 -1.627e-04  0.000e+00  0.000e+00 -1.627e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    720 -2.48186e-03 -2.482e-03  0.000e+00  0.000e+00 -2.482e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    725 -9.12648e-05 -9.126e-05  0.000e+00  0.000e+00 -9.126e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    730 -8.43006e-04 -8.430e-04  0.000e+00  0.000e+00 -8.430e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    735 -2.89941e-04 -2.899e-04  0.000e+00  0.000e+00 -2.899e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    740 -6.21701e-03 -6.217e-03  0.000e+00  0.000e+00 -6.217e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    745 -5.05788e-02 -5.058e-02  0.000e+00  0.000e+00 -5.058e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    750 -2.84890e-04 -2.849e-04  0.000e+00  0.000e+00 -2.849e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    755 -6.56378e-03 -6.564e-03  0.000e+00  0.000e+00 -6.564e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    760 -1.24774e-04 -1.248e-04  0.000e+00  0.000e+00 -1.248e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    765 -2.19287e-04 -2.193e-04  0.000e+00  0.000e+00 -2.193e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    770 -1.56377e-04 -1.564e-04  0.000e+00  0.000e+00 -1.564e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    775 -5.08248e-05 -5.082e-05  0.000e+00  0.000e+00 -5.082e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    780 -2.37619e-04 -2.376e-04  0.000e+00  0.000e+00 -2.376e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    785 -1.43444e-04 -1.434e-04  0.000e+00  0.000e+00 -1.434e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    790 -3.72778e-03 -3.728e-03  0.000e+00  0.000e+00 -3.728e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    795 -2.93974e-03 -2.940e-03  0.000e+00  0.000e+00 -2.940e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    800  1.72443e-01 -1.076e-01  0.000e+00  2.801e-01 -1.076e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    805 -1.99574e-04 -1.996e-04  0.000e+00  0.000e+00 -1.996e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    810 -1.43386e-04 -1.434e-04  0.000e+00  0.000e+00 -1.434e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    815 -4.95139e-02 -4.951e-02  0.000e+00  0.000e+00 -4.951e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
